display_record,PC1,PC2,primary_cluster,profile_name
Incident record 00001,2.252159195902489,-0.5645275845713827,1,"Lower-income rural, older/White-composition profile"
Incident record 00002,-1.1879883119792745,-0.5779084102559271,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00003,0.47182753170755104,-0.15684075382438797,1,"Lower-income rural, older/White-composition profile"
Incident record 00004,-3.2372038185225285,3.174744569932803,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00005,0.25557706695358073,-2.8767120922643343,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00006,0.2431064706356014,-0.5237965120281359,1,"Lower-income rural, older/White-composition profile"
Incident record 00007,0.9612005926888901,-0.8139719103908304,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00008,0.7356655649640459,-0.9685798667937412,1,"Lower-income rural, older/White-composition profile"
Incident record 00009,0.69566534414225,-0.6069497167200203,1,"Lower-income rural, older/White-composition profile"
Incident record 00010,-1.268214132311852,1.3503169375010513,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00011,3.184408111642151,-0.3358058582235811,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00012,0.056368505950638775,-0.9375071618123076,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00013,-0.26276176115540584,1.673927636163612,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00014,-0.601701597630689,-0.16096186151758213,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00015,1.4915571648302097,5.586464106530458,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00016,-0.9281690248216374,-1.9665819914516363,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00017,-0.9209474719075373,-1.0691687243468484,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00018,3.066253919233238,0.9623940654300274,1,"Lower-income rural, older/White-composition profile"
Incident record 00019,-1.8661196651641225,-2.1013977884662403,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00020,0.7786750513090172,-1.9778130936922427,1,"Lower-income rural, older/White-composition profile"
Incident record 00021,2.9438809288849392,-0.7293082852529079,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00022,0.9685748583221556,-1.741205539707495,1,"Lower-income rural, older/White-composition profile"
Incident record 00023,1.5915369608692975,0.568769702784208,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00024,1.8286808437835296,-0.7490501058176735,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00025,1.2699318454765167,0.3078040152259474,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00026,3.1458936854022492,-2.05607059625547,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00027,-0.9658352103885162,1.375982953636335,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00028,1.0067332968648557,-1.2751130868808962,1,"Lower-income rural, older/White-composition profile"
Incident record 00029,-1.137940009787888,0.03652120671577163,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00030,-1.797082505083933,0.21680085805478688,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00031,0.060931880483811526,-1.0210004459270654,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00032,-0.926087337522922,-1.0708825012245617,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00033,1.6395204601728297,2.278193718406979,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00034,-1.399126780472429,0.007963938373563,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00035,-2.0278427020559144,1.0580001229739926,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00036,0.4342763019046202,-0.4065251715512182,1,"Lower-income rural, older/White-composition profile"
Incident record 00037,5.325615594807368,1.6752165257603693,1,"Lower-income rural, older/White-composition profile"
Incident record 00038,2.0321503091109387,-0.7158985041052541,1,"Lower-income rural, older/White-composition profile"
Incident record 00039,-1.5743700959374576,0.5290394718623384,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00040,2.3629546085097366,0.5384092830228986,1,"Lower-income rural, older/White-composition profile"
Incident record 00041,1.5915369608692975,0.568769702784208,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00042,0.22329840544993002,0.36175208605247056,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00043,2.457856874579895,-1.67238289112784,1,"Lower-income rural, older/White-composition profile"
Incident record 00044,5.608276684246272,0.7280029268176044,1,"Lower-income rural, older/White-composition profile"
Incident record 00045,-3.0694699872453164,0.5445570887371,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00046,0.938684649537654,-0.7752469880296102,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00047,2.654382548682479,-1.1924400928506573,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00048,10.079318091221669,0.3724516102956947,2,"Higher-Hispanic-composition, younger/large-area profile"
