relative_path,bytes,sha256
dashboard/artifacts/incident_preprocessor_primary.joblib,1904,4946FA6CE2F5AE0D45A1C4E7486F101EA356C626630FAC75C3EF4F813D32AE16
dashboard/artifacts/incident_winner_primary_KMeans.joblib,44019,CBB61C17BDEF7778F56EA5D55C4867A1828142E1F5AA88DC02C9DEF7510F2464
dashboard/data/context_reference_values.csv,1477,16C14CF15D3521E392EB45B60E3A126A7852864032EAB10886A2E701567026FA
dashboard/data/counties.csv,1142966,6892D4986D84A55E5B72F5FA176AF1A5E61B3A322E77DE5C278FF09C245004CC
dashboard/data/counties.geojson,5108728,F4CFA898894413B160C6B40DE88BA858BE5BE968250E5393F690370477CCD292
dashboard/data/county_conventional_metrics.csv,5454,122FDDD00D39A431F535D43CD7A849E7C372DF013C97970430D8AE81C11606E5
dashboard/data/county_conventional_profiles.csv,3015,FE97557D4512E5A7744C23C5C711BAD49A0F2B3F0504292E7B26AC5697EB19DA
dashboard/data/county_morans_i.csv,206,87E7291EDDD5BD2D8848D98180C950D62722E64B9B4E65C7B43A43F23D91E34D
dashboard/data/county_spatial_metrics.csv,3652,A47A363222CE6BF289A2C2BE6100489D41D723E19DDA247D5B745BFB29A1751F
dashboard/data/county_spatial_names.csv,172,649E6A0E204470801B165D88591E9E70C039D649945F7D2EACE0E07302877C27
dashboard/data/county_spatial_profiles.csv,3005,A1D5B2AAC199A797CC97BD4B066DE7A1E869C2EA73345D499BB12C15B2052574
dashboard/data/dashboard_data_manifest.csv,4182,44714AD40E771ABA13559A630FF50EA277EF47AF40C553CFC9961771FB669A57
dashboard/data/fps_positive_sensitivity.csv,716,3BD539031789CC407B5B5D66B4CDF2697965AA9551278E9C95975DCE3AC6DBB3
dashboard/data/incident_candidate_metrics.csv,20773,23DF2C8152F5DD2691A115971616A8AD00535668F88D23DE02CCED185682D77B
dashboard/data/incident_cluster_names.csv,266,D7940882D59C64F0F309C73108F4D11B7BB82082151CE8DF2F7D91E997AB95FC
dashboard/data/incident_composition_long.csv,11362,053B6E24C7E82E7B19BD055FD857FCC3221EF16407DA14C35F99BB2C68F7A585
dashboard/data/incident_feature_dictionary.csv,3235,EB7267D420BC81A8639538BFAEA900D3740580F6AE970AFF23B958B45BA7992B
dashboard/data/incident_feature_scope.csv,1022,D69EC6832CF8600800EF0127F16FB7B5C09D6D5487CF8359BD33F05FAA6F688C
dashboard/data/incident_modelling_anonymized.csv,2418349,E5A6504D23144D8CD7A89B32D785BA37075C14A49C2A2305BA5A67692E1BE0C7
dashboard/data/incident_modelling_space_mean.npy,544,3F0CA785F1821BFFC7F71B2422146EF1D07FA0784F060E05957D7228225A3F53
dashboard/data/incident_pca_coordinates.csv,1259818,6009BA13BBC5CF457F71A159679A2C0250CA1920B18B0538FCC9845D77E81292
dashboard/data/incident_pca_explained_variance.csv,203,649C191C11A8301275E7F6AF7C63BD00208F2A566B0385D30B910AE4983DF854
dashboard/data/incident_profiles.csv,3179,8992CEEDDF30E73796BB89978A9C58426534ECD0B2AE0EEE7C0214F475B4E940
dashboard/data/incident_selected_metrics.csv,3073,7A9D5A7283637EA35EC47E961188CABFF18D733D16835CCD5C5A7DA22002069C
dashboard/data/incident_time_sensitivity.csv,248,3A4F2BD46B4A16B6C1F2C2F46235A084CB847F49AC06D2708B48E887C2BEB3F6
dashboard/data/locked_p2_output_hashes_after.csv,17205,834504D7BCFCCEEC4EA04087AE68D1067340AEDD4026C60C304A448FCAB77C83
dashboard/data/locked_p2_output_hashes_before.csv,17205,834504D7BCFCCEEC4EA04087AE68D1067340AEDD4026C60C304A448FCAB77C83
dashboard/data/locked_p2_source_hashes_after.csv,350,38AB63ABD0C2B0783AFDAA79A14901AD17E237D3BD52B67129E67E55BEE3B24C
dashboard/data/locked_p2_source_hashes_before.csv,350,38AB63ABD0C2B0783AFDAA79A14901AD17E237D3BD52B67129E67E55BEE3B24C
dashboard/data/lower48_sensitivity.csv,555,A37AA1EF001386E1B549823B4EA25D31AF12D00D461A2AA48673CDFFF3B04679
dashboard/data/matcher_responsiveness_audit.json,2851,8193262954AF89196BE767B30E0C370FC86F211C750C07704E1D42B7A939FAD1
dashboard/data/matcher_responsiveness_examples.csv,556,8F53D91A9DC3BB2E7FCCF28781085BEA3E04C6D939790B8932733CD7AD5D1D9A
dashboard/data/matcher_responsiveness_scenarios.csv,1031965,5D68867A6696D64EED87261B443E39C6B842F944CE3A7A858AC6809904663A15
dashboard/data/matcher_responsiveness_summary.csv,348,0395D7ADD588FEFF110D9BA0B0B7391809EFB75582B43DD6F1CE707AD5862A69
dashboard/data/model_selection_rules.csv,811,EBB640B3F71518FB093E29EB1352F7A8CD5C4478E12BF8ADF2EB2D2D14B8797B
dashboard/data/selected_model_summary.csv,695,16AEFCEA0391BDA852E167A5F71F4B10B5AB6047D3F089EAEE6164A7B182401E
dashboard/data/source_incidents.csv,358093,6B6ACB45F4BD4A00DCE1400046185A74839DDD4E0F45CFCFB403B5AC7B7177B3
dashboard/data/source_sensitive_aggregates.csv,447,D474B3F1BE99842A633BDEF5078980CC6A0B86A522BA529A1D026C6EC1592172
dashboard/data/spatial_smoothing_sensitivity.csv,620,D8A34927D5A7316268D54C2B2B55578E51755694E72DD9075E0CDB9B79EF400B
dashboard/data/validation_summary.json,629,47B821DA8511B2438D88C44B42F1A666842770BFB5EA1037C847315CA0C1F3F9
